dialogId,transmissionId
015b6591-d9a8-7524-823c-310336413326,015b6591-d9a8-7fce-aff5-6b56bdc3a05b
00c317d0-fabd-7c31-9a27-d217ecd9f49e,00c317d0-fabd-7a11-bb38-04642d091cb9
0130e39d-be4b-744f-b280-c74483f694eb,0130e39d-be4b-7469-b278-3b7bfc2b77b4
018b86ed-4d45-7ed7-a51e-7da8a3d1edb0,018b86ed-4d45-7616-ac48-04698303032f
0182b08f-85ef-7eed-8fe1-0d2af2216a0f,0182b08f-85ef-70ca-8062-eace28164627
012488c6-1939-7a0c-a019-7b5c26725bad,012488c6-1939-7aed-9107-fd5ce3ef89ae
013b8291-4cac-75b9-8975-2562e2d4685f,013b8291-4cac-7a83-876d-2033a0233359
00efa70c-387e-7d50-ac8e-05c51efc91b7,00efa70c-387e-73c2-95b6-be4d7fd2c79b
00ce3169-4c87-75f5-aeeb-095b3ad25a2b,00ce3169-4c87-7474-bd22-0b2be83e9a2c
0086f9ef-eb30-78ea-b6b3-53052ef56218,0086f9ef-eb30-73d6-81a9-6b0ae1ce2fe1
00ce3169-7b60-7c20-82ce-66db989a0d46,00ce3169-7b60-7417-b146-a15c2115aa6e
00ae8052-d1e5-7de4-bae8-201a543dc44e,00ae8052-d1e5-7adf-8cf2-db1470ff94d3
016a2120-7c47-759e-84e8-974722bd96da,016a2120-7c47-7ef6-ba35-aea98acb53e8
00bca81e-aaa6-7d00-8d45-abf809333b3b,00bca81e-aaa6-7dbf-bc0f-79f965525f28
0094a646-653c-74c0-91fb-933e0525ea9d,0094a646-653c-7d97-9d87-228b2298c043
018b86ed-7c1d-7d22-aa5d-aad8f53fac84,018b86ed-7c1d-7945-a706-eb6a0162b011
00e92768-5aae-71a5-b9a7-3744e6849688,00e92768-5aae-79ca-aa79-2a10c24c659d
00e68e19-4441-77a3-bc82-bfb3502add4d,00e68e19-4441-77bc-a1b8-2a6948c9d5e4
01104099-f72f-768e-9cd8-4d4a312b0d4e,01104099-f72f-767b-916e-ce0c827093d2
007aba46-9617-7ce5-a4e6-c5c2d37e70e9,007aba46-9617-74df-8961-dee8f40af389
00aecedf-66f1-7293-be07-f73e204069d3,00aecedf-66f1-7bb6-8d68-e06c9456c3c1
0086cde6-ecf7-7426-a17f-49769271c8a0,0086cde6-ecf7-7c9f-9bd1-7d4d7d359cc4
00fc50af-f1d4-7056-8aa6-01fc8f73dadb,00fc50af-f1d4-71e2-8739-316c23331382
018b98d9-8ccc-77d9-b7ee-53fdc535756c,018b98d9-8ccc-7191-a576-34459185efb3
01621130-fc53-74e2-b6b2-df41a19b728d,01621130-fc53-79aa-bd28-71e6f7c98780
00e188ea-bdd4-71f7-860b-94edb8cd8edf,00e188ea-bdd4-717b-b5d2-d57c2719437e
01187ecd-32eb-7030-a7b6-e43df886fbae,01187ecd-32eb-7c94-86bb-5ec36028b43f
01335106-9b0b-7c5f-a1c8-1a00dfc34912,01335106-9b0b-7612-b80e-5f9b1f126851
016b7354-1c1d-71bc-aa28-19bcaa179a98,016b7354-1c1d-7f16-a331-0a639fc87c65
01104098-af45-7319-9a28-3640089502eb,01104098-af45-7723-b4d6-26e89c38ad9d
0179f904-0427-7f2e-ad9e-c09d5fd94f4d,0179f904-0427-7e67-a097-5b0e2ac98017
00c3f0e7-6f77-759e-9ca7-7d2c23aa0d62,00c3f0e7-6f77-7a7a-b571-1dbb642d55ff
00c1fbae-f465-70c8-bb71-2b34250c8061,00c1fbae-f465-7ec1-bde7-942a5652fa62
00f27d0e-ac51-7059-878c-82c22485af94,00f27d0e-ac51-7a75-9d4f-d74b72d48b5f
00d28a7d-2fc5-7aad-9960-7b923c85ef9b,00d28a7d-2fc5-70af-8aef-2048bb3f1405
00de5f10-adba-7062-abea-ccea36ee573c,00de5f10-adba-74d7-8c1d-3b2d279241b8
0140a826-5142-7ef4-b9fe-4c4bb16d7169,0140a826-5142-706b-80fd-429efb3cdf46
00e661bc-d4b5-70d9-9c47-92153c4f62c5,00e661bc-d4b5-7b40-8acb-226241cbebae
011a487b-5081-75e4-9921-6b84b7f3902a,011a487b-5081-759a-8345-2745308a34d1
016b2d8e-fd5a-73de-99e4-de29a3906c02,016b2d8e-fd5a-7e4b-9fd2-e968cfa4d46f
016a507f-d9cf-7ab9-bd64-6ab03060bd31,016a507f-d9cf-7a35-b4e8-1a30246a72b3
01021fcf-09bd-7b9b-8b16-b86af05c9ea8,01021fcf-09bd-75dd-88e1-4694d026d947
0142d8cd-e863-7a41-9836-c0b415e1e328,0142d8cd-e863-76bb-85f7-ebddb663cce3
0130a703-43d0-7504-b77a-f61047b0fa56,0130a703-43d0-7994-8658-3a1e8843a5a6
0137f764-7799-7046-91cb-4cec9d5afadb,0137f764-7799-7080-b0cb-5a5a05f5cff5
009b79b3-996a-71b8-95b6-e99fc59ad722,009b79b3-996a-728b-8051-e6790a42c4fe
01424ae1-66cb-750a-90c7-7a34b629ec17,01424ae1-66cb-7110-80ad-4dd83e7b238e
0144129b-c6af-78fa-bbd2-c84be130ab99,0144129b-c6af-79f2-a0b9-594e1d2bd189
00dd71c5-828b-7cb9-a2cd-1b34944ae360,00dd71c5-828b-7e25-815e-b8f3402b9e5d
016266c5-fd54-7a89-92ee-1dde33d0892c,016266c5-fd54-7c21-adf0-0aaa1f621e25
00ae8051-b8d3-792b-a76a-a691bf5722e5,00ae8051-b8d3-7a9a-8771-f85047c9a65e
00de5f0e-4cbe-70a3-a67f-f9c6ff81f750,00de5f0e-4cbe-7281-b81c-62b28b4080ea
014e7dda-824c-719f-90a8-6873eecc9c02,014e7dda-824c-7975-93f8-2026e9621606
00e043ee-345a-7b1c-be4d-11de6b9349dc,00e043ee-345a-7ca8-adcc-90b5535e03a5
0155425f-2050-7a21-921d-80a7d0288ec8,0155425f-2050-78c1-9a5b-e77de92ff047
00b47651-5d70-77a4-bfd0-5329806dc0c9,00b47651-5d70-7e86-84df-8174940c7496
00ce3167-d5c5-7677-888f-f4d67115d1b7,00ce3167-d5c5-7992-899d-bd6aa84dd47c
009e1f6f-c151-767f-b945-acdc1d908e86,009e1f6f-c151-7b30-a31e-0b29b4e56d8a
008f1dae-0618-7334-adec-f7514e20cfdf,008f1dae-0618-7e7b-9995-dd34ed8114a6
0177e063-f163-7793-96d0-4216e7e11cfd,0177e063-f163-7c04-a2db-a018052b6744
012133d3-7d3a-7b90-99ec-d18c0e1550b0,012133d3-7d3a-7064-acb8-742cddf07375
01263693-daa7-72c7-8dc9-be7b2cf033b7,01263693-daa7-745f-b711-f134db27ecf7
00ae8053-8d46-7f0e-9ff4-3ac66f62ee1c,00ae8053-8d46-7d9d-8658-bb705dbce97c
008f1daa-8c0a-7ed4-880e-f92887070274,008f1daa-8c0a-7559-95b4-1cff390362e4
008eb368-f919-75e6-b27c-03a40a679423,008eb368-f919-77fa-9403-5e4e125dfd68
0113be5e-ab70-735a-abee-89b959219370,0113be5e-ab70-7db3-a0d5-cfa8e886141a
00e33151-a798-72ab-b2d4-588f8817a923,00e33151-a798-73b4-a26d-5df77aa67fba
00e52218-dcfd-7891-b93a-18dc9daf2ee4,00e52218-dcfd-7709-9b88-d71c0c97a577
00c0fefa-bdda-7914-87b4-4047bb090983,00c0fefa-bdda-745b-ab54-3a3f328f2e55
0199be26-941b-7008-9afd-eba842c6a7c4,0199be26-9418-70a5-9f50-c06af77d2846
00ae7f93-6a06-7c91-8200-bb72271412f0,00ae7f93-6a06-7de8-909f-4ded1a03819e
00dd71c6-f94e-756c-a1a3-1da2962531ec,00dd71c6-f94e-7b02-8cca-fd0c42a8a4d4
00f27d10-de75-7e1e-a897-d93d6cf9d29d,00f27d10-de75-7a4c-8b4f-85f2e1905fa1
01045999-37f8-79e4-9785-0a6db654d9a3,01045999-37f8-7db6-afbf-9c7164b44c30
0160e32b-502a-790f-b08c-3b2c805f92b9,0160e32b-502a-7e92-a6c5-f805e7fd3e2e
01331db7-8619-7d44-b514-438757fe0666,01331db7-8619-764f-9f0a-75ccd97da3fb
00de5f12-5355-76d2-adfc-12a4068eefae,00de5f12-5355-797e-8410-d878d8a61a4b
00e188ef-221c-77b5-ae01-eab369bf8118,00e188ef-221c-7024-93ee-418ace2df236
014077f7-7180-7143-92bb-ea20ca9233be,014077f7-7180-7cd1-870d-2e9bd7308f0c
008c8298-f139-71ac-a3f8-f2d822b12f37,008c8298-f139-7b24-99e3-c0e929dfe7b9
009e80ea-3ba8-762f-a3fb-f8a59273cf3c,009e80ea-3ba8-75b8-8e46-3eee7f112ab5
0086f9ef-5ea7-75fa-8eb7-6329f8f84ead,0086f9ef-5ea7-7850-8556-0a85614d84f9
00aa1824-92a6-765d-916b-2adb180f920a,00aa1824-92a6-748b-8619-fd2e3c50de22
015dbdf7-c5a2-7f2d-8990-5dd8d5b5a127,015dbdf7-c5a2-7aea-b3ee-8d79f8b01b9e
01441299-f23c-7e9d-9e6b-00495660a566,01441299-f23c-769b-8cc4-e23a8d3e70ea
009e1f70-1f02-76ed-a361-c8ab45b6e96b,009e1f70-1f02-73e7-bb51-9e43c6e2e872
00cc94b0-c7c1-766d-be0c-f53b4e38d0ee,00cc94b0-c7c1-75ba-bf5c-de5bcee2c0c7
01363d79-f9a5-790b-825b-e0fa85d2cbb6,01363d79-f9a5-75f0-a069-04a0d526a1a3
007b23df-a0c8-7962-8d34-c42ecc51fc96,007b23df-a0c8-73a2-99b6-b5f00be86cec
0130a703-ff31-798a-aeb2-05494578a239,0130a703-ff31-7301-965f-9b3b143dccd7
00e661bf-f113-75e2-aba4-1bab1b0374bd,00e661bf-f113-7ca0-9b9e-5d5b6bfb1686
00c3f0e7-409e-7159-a2da-b512d209e7f2,00c3f0e7-409e-7831-a317-7f48579727c7
00a32ffc-86a0-7ec9-b4ec-c506bdb0d5e8,00a32ffc-86a0-7989-9d7b-ab1491a74b05
012e3085-e707-78be-ae83-f52cfd2e63ff,012e3085-e707-759d-8a8c-9288a0a801e0
0118ceeb-70be-7600-b688-cc5fc48d058a,0118ceeb-70be-7734-9984-886fae05cb51
00978eb2-4291-7924-b019-03e31a85bc63,00978eb2-4291-7d61-9aa7-fb4c61446dfd
008c6de5-0d7d-73fa-a944-a7a4879fc4fd,008c6de5-0d7d-76bd-a257-4c9d5b1ba5bf
01641149-7339-7f87-a675-1e092c6f9bbd,01641149-7339-76b1-a0e3-1088b9abc623
014048c8-3434-7537-835b-a7899a0f811f,014048c8-3434-7e02-8504-34a43e429170